service	Voice	description_zh	description_en	avaliable_volume	primary_lang	style	role
Aliyun	xiaoyun	小云:标准女声	xiaoyun: zh-F	-10.787424961841506	zh	general	Default
Aliyun	ruoxi	若兮:温柔女声	ruoxi: zh-F	-13.491927749952758	zh	general	Default
Aliyun	siqi	思琪:温柔女声	siqi: zh-F	-3.38892818355464	zh	general	Default
Aliyun	sijia	思佳:标准女声	sijia: zh-F	-10.054754527984155	zh	general	Default
Aliyun	aiqi	艾琪:温柔女声	aiqi: zh-F	-8.389583230017159	zh	general	Default
Aliyun	aijia	艾佳:标准女声	aijia: zh-F	-8.076614240255267	zh	general	Default
Aliyun	ninger	宁儿:标准女声	ninger: zh-F	-1.4648352671444549	zh	general	Default
Aliyun	ruilin	瑞琳:标准女声	ruilin: zh-F	-0.11320389667433162	zh	general	Default
Aliyun	siyue	思悦:温柔女声	siyue: zh-F	-13.783474509512157	zh	general	Default
Aliyun	aiya	艾雅:严厉女声	aiya: zh-F	-3.521197480698728	zh	general	Default
Aliyun	aixia	艾夏:亲和女声	aixia: zh-F	-3.747388149459642	zh	general	Default
Aliyun	aimei	艾美:甜美女声	aimei: zh-F	-7.719075501152746	zh	general	Default
Aliyun	aiyu	艾雨:自然女声	aiyu: zh-F	-2.6931212877574993	zh	general	Default
Aliyun	aiyue	艾悦:温柔女声	aiyue: zh-F	-8.264199231512038	zh	general	Default
Aliyun	aijing	艾婧:严厉女声	aijing: zh-F	-0.4142542416207604	zh	general	Default
Aliyun	xiaomei	小美:甜美女声	xiaomei: zh-F	-12.472141661474518	zh	general	Default
Aliyun	aina	艾娜:浙普女声	aina: zh-F	-2.4398269689645957	zh	general	Default
Aliyun	yina	伊娜:浙普女声	yina: zh-F	-0.237477027950586	zh	general	Default
Aliyun	sijing	思婧:严厉女声	sijing: zh-F	-11.742097463775291	zh	general	Default
Aliyun	guijie	柜姐:亲切女声	guijie: zh-F	-3.143787241661908	zh	general	Default
Aliyun	xiaobei	小北:萝莉女声	xiaobei: zh-F	-10.069423102632358	zh	general	Default
Aliyun	aiwei	艾薇:萝莉女声	aiwei: zh-F	-6.864698298454462	zh	general	Default
Aliyun	aibao	艾宝:萝莉女声	aibao: zh-F	-2.639110494155439	zh	general	Default
Aliyun	qiaowei	巧薇:卖场广播	qiaowei: zh-F	-8.134362888165992	zh	general	Default
Aliyun	xiaoxian	小仙:亲切女声	xiaoxian: zh-F	-5.796298547153725	zh	general	Default
Aliyun	laomei	老妹:吆喝女声	laomei: zh-F	-4.6308320503480935	zh	general	Default
Aliyun	stella	Stella:知性女声	stella: zh-F	0.7446757041968013	zh	general	Default
Aliyun	rosa	Rosa:自然女声	rosa: zh-F	-1.311249719937102	zh	general	Default
Aliyun	lydia	Lydia:英中双语女声	lydia: multi-F	-6.999901662608643	multi	general	Default
Aliyun	yuer	悦儿:儿童剧女声	yuer: zh-F	-0.8152844079654216	zh	general	Default
Aliyun	maoxiaomei	猫小美:活力女声	maoxiaomei: zh-F	-2.3282402827218327	zh	general	Default
Aliyun	zhimao	知猫:普通话女声	zhimao: zh-F	-12.359476410544637	zh	general	Default
Aliyun	zhiyuan	知媛:普通话女声	zhiyuan: zh-F	-3.5810621772074285	zh	general	Default
Aliyun	zhigui	知柜:普通话女声	zhigui: zh-F	-3.171626655360022	zh	general	Default
Aliyun	zhiya	知雅:普通话女声	zhiya: zh-F	-3.4497082735327638	zh	general	Default
Aliyun	zhiyue	知悦:普通话女声	zhiyue: zh-F	-8.813490185651649	zh	general	Default
Aliyun	zhistella	知莎:普通话女声	zhistella: zh-F	-3.6097394261891154	zh	general	Default
Aliyun	zhimi_emo	知米:多种情感女声	zhimi_emo: zh-F	-2.9606230086938545	zh	general	Default
Aliyun	zhiyan_emo	知燕:多种情感女声	zhiyan_emo: zh-F	-3.5300924017403545	zh	general	Default
Aliyun	zhitian_emo	知甜:多种情感女声	zhitian_emo: zh-F	-3.8207783096586034	zh	general	Default
Aliyun	zhimiao_emo	知妙:多种情感女声	zhimiao_emo: zh-F	-6.745795179512202	zh	general	Default
Aliyun	sitong	思彤:儿童音	sitong: zh-C	-2.7735129310658984	zh	general	Default
Aliyun	aitong	艾彤:儿童音	aitong: zh-C	-5.516168463467867	zh	general	Default
Aliyun	jielidou	杰力豆:治愈童声	jielidou: zh-C	-2.6144486671444938	zh	general	Default
Aliyun	zhibei_emo	知贝:多种情感童声	zhibei_emo: zh-C	-4.334070971018296	zh	general	Default
Aliyun	xiaogang	小刚:标准男声	xiaogang: zh-M	-9.311843464673753	zh	general	Default
Aliyun	sicheng	思诚:标准男声	sicheng: zh-M	-3.2178283049215004	zh	general	Default
Aliyun	aicheng	艾诚:标准男声	aicheng: zh-M	-4.232170580825436	zh	general	Default
Aliyun	aida	艾达:标准男声	aida: zh-M	-2.3384439721631907	zh	general	Default
Aliyun	zhishuo	知硕:普通话男声	zhishuo: zh-M	-12.36430056486918	zh	general	Default
Aliyun	zhida	知达:普通话男声	zhida: zh-M	-2.656332204220547	zh	general	Default
Aliyun	aishuo	艾硕:自然男声	aishuo: zh-M	-3.6470981488915015	zh	general	Default
Aliyun	yaqun	亚群:卖场广播	yaqun: zh-M	-7.2337355508890955	zh	general	Default
Aliyun	stanley	Stanley:沉稳男声	stanley: zh-M	-3.842246164477409	zh	general	Default
Aliyun	kenny	Kenny:沉稳男声	kenny: zh-M	-2.3103549322439463	zh	general	Default
Aliyun	mashu	马树:儿童剧男声	mashu: zh-M	-2.7248796033501357	zh	general	Default
Aliyun	aifei	艾飞:激昂解说	aifei: zh-M	-7.526217381063741	zh	general	Default
Aliyun	ailun	艾伦:悬疑解说	ailun: zh-M	-7.25836816792312	zh	general	Default
Aliyun	shanshan	姗姗:粤语女声	shanshan: zh-F	-12.891352151437651	zh	general	Default
Aliyun	jiajia	佳佳:粤语女声	jiajia: zh-F	-3.6842968765739776	zh	general	Default
Aliyun	taozi	桃子:粤语女声	taozi: zh-F	-12.092423371482468	zh	general	Default
Aliyun	kelly	Kelly:香港粤语女声	kelly: zh-F	-14.789214216576111	zh	general	Default
Aliyun	chuangirl	小玥:四川话女声	chuangirl: zh-F	-7.01777080583139	zh	general	Default
Aliyun	qingqing	青青:中国台湾话女声	qingqing: zh-F	-7.093307196547677	zh	general	Default
Aliyun	cuijie	翠姐:东北话女声	cuijie: zh-F	-7.471327836673135	zh	general	Default
Aliyun	laotie	老铁:东北老铁	laotie: zh-M	-6.702711847625817	zh	general	Default
Aliyun	dahu	大虎:东北话男声	dahu: zh-M	-6.246704784463763	zh	general	Default
Aliyun	aikan	艾侃:天津话男声	aikan: zh-M	-6.382197732395168	zh	general	Default
Aliyun	xiaoze	小泽:湖南重口音男声	xiaoze: zh-M	-4.4347897437808825	zh	general	Default
Aliyun	indah	Indah:印尼语女声	indah: id-F	-6.719662937192592	id	general	Default
Aliyun	tala	Tala:菲律宾语女声	tala: fil-F	-1.4252768204553519	fil	general	Default
Aliyun	tien	Tien:越南语女声	tien: vi-F	5.226608188877421	vi	general	Default
Aliyun	farah	Farah:马来语女声	farah: ms-F	-9.187592858400079	ms	general	Default
Aliyun	Kyong	Kyong:韩语女声	Kyong: ko-F	-10.54703062716445	ko	general	Default
Aliyun	masha	masha:俄语女声	masha: ru-F	-7.051917582853978	ru	general	Default
Aliyun	camila	camila:西班牙语女声	camila: es-F	-7.6086016476871485	es	general	Default
Aliyun	perla	perla:意大利语女声	perla: it-F	-7.692964904301155	it	general	Default
Aliyun	tomoka	智香:日语女声	tomoka: jp-F	-7.977285304954833	jp	general	Default
Aliyun	tomoya	智也:日语男声	tomoya: jp-M	-7.751945510628216	jp	general	Default
Aliyun	annie	Annie:美语女声	annie: en-F	-13.112432300478638	en	general	Default
Aliyun	clara	clara:法语女声	clara: fr-F	-7.514986230783148	fr	general	Default
Aliyun	hanna	hanna:德语女声	hanna: de-F	-8.398470350205818	de	general	Default
Aliyun	waan	waan:泰语女声	waan: th-F	-5.933889585103362	th	general	Default
Aliyun	abby	Abby:美音女声	abby: en-F	-11.039152432755099	en	general	Default
Aliyun	harry	Harry:英音男声	harry: en-M	-7.813243504187467	en	general	Default
Aliyun	andy	Andy:美音男声	andy: en-M	-12.708645514086232	en	general	Default
Aliyun	emily	Emily:英音女声	emily: en-F	-12.236362150138017	en	general	Default
Aliyun	luna	Luna:英音女声	luna: en-F	-12.477697075567363	en	general	Default
Aliyun	wendy	Wendy:英音女声	wendy: en-F	-12.873935689329606	en	general	Default
Aliyun	olivia	Olivia:英音女声	olivia: en-F	-6.358157059317351	en	general	Default
Aliyun	eric	Eric:英音男声	eric: en-M	-12.187279953391853	en	general	Default
Aliyun	luca	Luca:英音男声	luca: en-M	-12.854965058370718	en	general	Default
Aliyun	william	William:英音男声	william: en-M	-11.349083656658204	en	general	Default
Aliyun	becca	Becca:美语客服女声	becca: en-F	-1.4082678927523347	en	general	Default
Aliyun	betty	betty:美式英文女声	betty: en-F	-12.726396238792281	en	general	Default
Aliyun	beth	beth:美式英文女声	beth: en-F	-11.74123392650381	en	general	Default
Aliyun	cindy	cindy:美式英文女声	cindy: en-F	-11.060660271884345	en	general	Default
Aliyun	cally	cally:美式英文女声	cally: en-F	-11.321937401710365	en	general	Default
Aliyun	donna	donna:美式英文女声	donna: en-F	-12.59433026211021	en	general	Default
Aliyun	eva	eva:美式英文女声	eva: en-F	-11.557080059195133	en	general	Default
Aliyun	ava	ava:美语女声	ava: en-F	-13.206318865120332	en	general	Default
Aliyun	brian	brian:美式英文男声	brian: en-M	-12.941888927734936	en	general	Default
Aliyun	zhitian	知甜:甜美女声(x)	zhitian: zh-F	-4.757181559575223	zh	general	Default
Aliyun	zhiqing	知青:中国台湾话女生(x)	zhiqing: zh-F	-2.700460442936908	zh	general	Default
Azure	zh-CN-XiaochenNeural	晓辰:女	zh-CN-Xiaochen: F	-3.120519374444516	zh	general	Default
Azure	zh-CN-XiaohanNeural	晓涵:女	zh-CN-Xiaohan: F	1.253774864717741	zh	general,affectionate,angry,calm,cheerful,disgruntled,embarrassed,fearful,gentle,sad,serious	Default
Azure	zh-CN-XiaomoNeural	晓墨:女	zh-CN-Xiaomo: F	-1.5740931811744971	zh	general,affectionate,angry,calm,cheerful,depressed,disgruntled,embarrassed,envious,fearful,gentle,sad,serious	Default,YoungAdultFemale,YoungAdultMale,OlderAdultFemale,OlderAdultMale,SeniorFemale,SeniorMale,Girl,Boy
Azure	zh-CN-XiaoqiuNeural	晓秋:女	zh-CN-Xiaoqiu: F	-1.5657373463424378	zh	general	Default
Azure	zh-CN-XiaoruiNeural	晓睿:女	zh-CN-Xiaorui: F	-0.893917650640649	zh	general,angry,calm,fearful,sad	Default
Azure	zh-CN-XiaoshuangNeural	晓双:女	zh-CN-Xiaoshuang: F	-1.140279232945435	zh	general,chat	Default
Azure	zh-CN-XiaoxiaoNeural	晓晓:女	zh-CN-Xiaoxiao: F	-3.391186898854862	zh	general,affectionate,angry,assistant,calm,chat,cheerful,customerservice,disgruntled,fearful,gentle,lyrical,newscast,poetry-reading,sad,serious,sorry,whisper	Default
Azure	zh-CN-XiaoyanNeural	晓颜:女	zh-CN-Xiaoyan: F	-3.4899933273197945	zh	general	Default
Azure	zh-CN-XiaoyouNeural	晓悠:女	zh-CN-Xiaoyou: F	-1.9313406907281774	zh	general	Default
